,MSE,MAE,MAPE
A,19.82370596947098,3.7439658123513926,2.8464704802681946
AAPL,25.850188430580918,4.126131538722826,2.5400539970649074
ABBV,10.615424959682455,2.689241890285327,2.005809637263108
ABT,9.947285663996533,2.6548682171365483,2.2842720354519868
ACGL,2.26323843924645,1.3161752783733867,2.825084291682274
ACN,94.65236491590088,7.615256666100541,2.339116363682742
ADBE,437.53577936846426,16.467637833305023,3.4777220797449964
ADI,22.2589672650494,3.7376138438349185,2.429868449034161
ADM,7.418914558572581,2.2122170158054524,2.8598730299553154
ADP,28.583447482738553,4.356902147376018,2.0970959628297052
ADSK,54.708789816043236,6.133927983823032,2.8012036533227893
AEE,2.0083134362180517,1.1241372813349182,1.3475607257737048
AEP,10.641149888707456,2.8606972735861067,3.2939071283049626
AES,0.5033904265597816,0.5818092014478603,2.7748938975628588
AFL,2.1900704387579175,1.2475598210873808,2.170562385394407
AIG,5.317132869048382,1.8240847711977752,3.240995981251967
AIZ,11.049311050294857,2.5634969960088316,1.5829717375674062
AJG,16.94432455861698,3.2962256390115487,2.0730651058115774
AKAM,7.173472297573766,1.8736963023310127,1.7212866322934832
ALB,163.16259195470943,9.47904052734375,4.5929034018875665
ALGN,1115.770719473291,26.771642004925273,6.172183967876944
ALL,11.023489583802476,2.586539028001868,2.175745112206122
ALLE,7.4629532865152415,2.360932789678158,2.10124513269761
AMAT,32.286561581189765,4.514765200407611,3.5448488213568394
AMCR,0.05163885753012749,0.16615910737410836,1.5804796362341074
AMD,51.862752541834354,5.961114170240319,5.318563942557617
AME,9.35183095685359,2.5704694001571,1.9883508564623213
AMGN,16.51859333698801,3.1688342550526505,1.4682341525414926
AMP,139.12039939469824,9.761827684485395,3.4348264113211875
AMT,37.43054446504735,4.920786451256794,2.1157964991358913
AMZN,83.96455546837635,7.175125586468241,5.186319372358385
ANET,19.960133073649512,3.6881668090820305,3.008735901036227
ANSS,134.75565541028854,9.45037324324898,3.0390240245660594
AON,76.76744164760508,6.557230543053668,2.311514201252351
AOS,2.366819664263724,1.195332999851393,1.767902228372387
APA,5.4499153277181565,1.8801940088686735,5.388826684255559
APD,34.27766030718085,4.538399472443953,1.905845716773129
APH,1.48480210427863,0.9862127552861752,2.613836025804489
APTV,56.33640832702285,5.796316262950068,4.732116952593651
ARE,24.646681375350063,3.9825191331946326,2.2664229086513936
ATO,5.4362483214819814,1.9105982241423238,1.8209616698336812
AVB,28.28552284939215,4.126613185716712,1.905581859708898
AVGO,5.9563603745076215,1.956022478186566,3.5323947861532172
AVY,76.09798015565003,7.390744681980299,4.236230303570562
AWK,16.028831801429874,3.325715968919837,2.1478017728632994
AXON,62.398141780554845,6.354566955566404,5.152032694074219
AXP,68.91452773655561,6.702273161514945,3.8991447287904353
AZO,6994.866125950474,63.88809336786684,3.259323860953006
BA,109.73259415290792,8.567350503672724,5.044648801262393
BAC,4.857519849221274,1.7766743038011634,4.362437459784881
BALL,8.387718212583769,2.204376950471297,2.7016015654605434
BAX,2.589261344458867,1.2060273543648097,1.6376898187676137
BBWI,13.741072933115166,2.9290210226307742,5.977070052810946
BBY,9.88422427091281,2.299472045898437,2.773041345814052
BDX,37.38899018772391,4.7995789901069985,1.9267805812648104
BEN,0.5027101413653686,0.5686069986094602,2.1955832183456057
BG,6.78738517325737,2.0498926577360748,2.0235905571226467
BIIB,200.34996769038912,13.459646341075066,6.3108084830554345
BK,1.969675543827368,1.0800635959791098,2.1858802955828147
BKNG,12157.266890502753,77.80755562160326,3.5457772591576604
BKR,3.345128221694682,1.4769930134648857,4.957566725609648
BLDR,11.99806986296291,2.740118341860563,3.94399481863399
BLK,313.6101438212653,14.312002165421196,2.0838149886709334
BMY,2.0821600498127975,1.201630965523098,1.8858240043666943
BR,16.27785268653913,3.4092019786005436,2.2819154661567556
BRO,3.8163330673736158,1.5659080837083899,2.433882963589029
BSX,1.3808856319142602,0.9282976233440894,2.157684564488002
BWA,1.8844402675554233,1.0839467919391135,3.103414879357965
BX,55.909244175943634,6.223936528744903,5.845118642817457
BXP,5.314926372213875,1.8336783367654537,1.771405758637132
C,2.13079658527365,1.2321733225946836,2.410137593716771
CAG,0.5908907352010632,0.5622951175855555,1.8547929547012736
CAH,1.1611577498322898,0.7956386068592901,1.5146395709868743
CAT,66.86566976816391,6.832232002590015,3.4612448762970898
CB,13.186329845703494,2.9594201129415763,1.5171652412917922
CBOE,4.34094086262479,1.7699387260105315,1.5464077035454769
CBRE,12.375126572827941,2.91534357485564,3.0354645111101037
CCI,25.89304025866415,4.105510943868886,2.561344952737982
CCL,1.1046976303988902,0.855783396181853,4.746389412736893
CDNS,48.46873291864506,5.817942212975545,3.77697037059921
CDW,33.38337392248215,4.755083697775137,2.7334092298279398
CE,21.254378669048943,3.76217041015625,2.626380181513883
CF,15.561140561936064,3.0929605566937,3.7073289453853318
CFG,3.42870858723232,1.4580328899881119,3.4486816071615056
CHD,4.750997952741326,1.6623984958814533,1.7507065534135933
CHRW,14.593381186881427,3.2201027248216714,3.3410146385657336
CHTR,339.7864725484067,13.979228144106658,2.5591868023205286
CI,39.93530472957366,5.1807302723760165,2.2333318026408597
CINF,9.018141170894301,2.1798478499702787,1.8940774351704437
CL,1.9432113679454905,1.116309456203295,1.500307183680408
CLX,29.198440469095846,3.7202522609544837,2.704007264066943
CMCSA,1.444069541112707,0.8598310719365659,2.0394071133294944
CME,27.795023137910054,4.009732719089674,1.953066890376063
CMG,1.6122612444660511,1.0169638260551126,3.4265795885975323
CMI,30.619738444357957,4.542421025815219,2.3128812226894886
CMS,1.9613755586975938,1.164607669996179,1.8687927504286252
CNC,3.943162836536824,1.5722424714461611,1.908054573876614
CNP,0.842091254712242,0.830181652566661,3.027758216620893
COF,27.01368549554458,4.30636855415676,3.2671985983329717
COO,9.68547992208446,2.454768968665081,2.520444868190091
COP,9.52851901294337,2.5412491839864977,3.0397965092127732
COR,7.306856200410783,2.162234231700068,1.5152359189291607
COST,345.09841176211535,13.897303307574727,2.82666308868399
CPAY,43.408229312154916,4.880357029127037,2.0925679898446408
CPB,0.700545414630577,0.6223202912703807,1.476584503785128
CPRT,1.5112728044074337,0.9834265999172046,3.0950543222645956
CPT,27.006157774460483,4.299997545325238,2.9026465798390717
CRL,185.44477586674554,10.441489841627044,3.591122508156174
CRM,71.32347989000539,6.918950089164402,3.451919079250575
CRWD,163.26044911016993,9.764730171535327,5.40379650145073
CSCO,1.8560691028481608,1.0562710969344429,2.0943166331330874
CSGP,9.968772748756882,2.3799066626507304,3.7699137375372507
CSX,1.051549874151976,0.843141506029212,2.5104106000959976
CTAS,5.190060815064779,1.8448228255562154,1.976000504375432
CTLT,18.758179103329507,3.3391553132430367,3.2361028621983077
CTRA,1.3837457989397863,0.9353092857029124,4.205870163179269
CTSH,7.374026603849463,2.264047042183254,2.7546436437952315
CTVA,2.1458283533349776,1.163990186608356,2.2177133456322307
CVS,3.789333571233467,1.5567855171535332,1.6416756138494717
CVX,19.88381763693432,3.2324850331182073,2.3490836778107593
CZR,16.718014321154186,3.1576150977093245,4.381323343743905
D,5.119043430604,2.0246855362601903,2.7780889053944398
DAL,3.194138878507163,1.3382306969684106,3.5287335052384337
DAY,11.808359272615942,2.7564962967582374,3.825327101521904
DD,4.447336655225905,1.690452011771824,2.377493584418689
DE,251.56047858356132,12.370292331861416,3.3198081877475696
DECK,9.674207297285239,2.604614821724269,5.427721638542723
DELL,4.194084024550545,1.5352079971976902,3.218355324071119
DFS,26.05666318054707,4.273490507706353,3.943520065182513
DG,74.34704058266891,6.394292814835258,3.061998087798272
DGX,10.47193876402351,2.4303867505944288,1.7691769643387731
DHI,11.974459923267284,2.772300919242527,3.4054834419865667
DHR,56.65786048052221,6.2369441820227545,2.547569567751062
DIS,20.161069630159307,3.575210040548573,2.6846815642733914
DLR,11.550188946883887,2.5496908436650827,1.9616334608382504
DLTR,20.64036739312629,3.0706470655358356,2.127783646669554
DOC,0.2911688503939609,0.4247451118800952,1.4692149653492204
DOV,11.694209417016447,2.7395247749660325,1.8148494029818503
DOW,1.5611046237115616,0.9803502290145213,1.802631987860815
DPZ,233.47914368517542,12.283578623896064,3.0068026053043635
DRI,15.687512762063056,3.0506472380264937,2.4803091760896017
DTE,4.505161775014379,1.6418435138204823,1.427403168215768
