,MSE,MAE
A,18.870418269716144,3.7066450699515965
AAPL,26.81237823329461,4.019383173403533
ABBV,10.615424959682455,2.689241890285327
ABT,12.837321362881308,2.9709548286769696
ACGL,0.6830726175813214,0.6715065665867017
ACN,125.21594151209875,8.711512291949726
ADBE,445.04534323126387,16.558685568104615
ADI,20.349348197636477,3.5793564506199047
ADM,12.154558451620629,2.965604135264522
ADP,27.42142612950106,4.179556539784306
ADSK,76.38160552997142,7.2228298021399455
AEE,7.6676091670190285,2.4967776091202447
AEP,10.291768039721967,2.865153503417968
AES,0.4885713298364076,0.5845351841138761
AFL,2.6584401268126054,1.2974378171174417
AIG,7.972462204074533,2.481333492113196
AIZ,12.063347906493782,2.8147954526154892
AJG,30.87571910587747,4.541713814113451
AKAM,11.604116184050824,2.3579694664996604
ALB,165.22337030469754,10.12050449537194
ALGN,1021.2054635587597,25.560511315387227
ALL,11.062392073183872,2.5599266383958907
ALLE,6.259596333162775,2.1321935239045513
AMAT,29.814017320255793,4.3598137233568295
AMCR,0.09794961672178815,0.24964816881262725
AMD,34.1290437841059,4.738371741253396
AME,10.468316331151984,2.7710622372834597
AMGN,15.375089787323361,3.165599259086277
AMP,117.41264353443508,8.84066507090693
AMT,31.363435173498296,4.4248966382897414
AMZN,42.80092996369045,5.143039802882982
ANET,22.345687033365095,3.947426505710767
ANSS,113.47763035744228,8.829085772970448
AON,58.96902047171379,5.713104248046875
AOS,3.3841190044739062,1.477159682564114
APA,6.348753572628058,1.9901204150655996
APD,32.98537411355898,4.480888963782269
APH,0.6993187603035831,0.6859466884447181
APTV,41.87597946124457,5.0882931916610055
ARE,19.998253665036383,3.623449839716372
ATO,4.398473202612292,1.6051375679347837
AVB,32.494489881872084,4.4340089217476235
AVGO,5.228634187863614,1.812935870626699
AVY,42.35500576125418,5.355818375297215
AWK,15.772649056025092,3.1276875371518345
AXON,45.93742819184325,5.386370650581692
AXP,70.29497944316016,6.740392137610394
AZO,3343.884233993938,43.926714291779874
BA,65.79576717624188,6.61120081362517
BAC,2.3822190750501955,1.2744361711585004
BALL,7.472383612672715,2.0028212837550945
BAX,2.7431151155534232,1.312432330587636
BBWI,8.056641205300895,2.252490466573964
BBY,14.785115000926982,2.870890542735224
BDX,50.21484538005138,5.698656563136888
BEN,0.5736649313786902,0.6251182722008747
BG,20.087587683352798,3.6713861216669517
BIIB,123.31230742379857,10.218789274796196
BK,3.375629861913266,1.57988573157269
BKNG,7838.556183219215,65.22580460258152
BKR,4.880997056713987,1.866248404461404
BLDR,11.66616441782604,2.712571583623471
BLK,1725.842109278557,35.41520253057065
BMY,4.299480210303749,1.864231706702191
BR,18.413987329999067,3.5240231721297555
BRO,3.673259985063139,1.5074185910432234
BSX,1.241018191168879,0.879556838325832
BWA,3.5755171376409236,1.4455472365669582
BX,28.77975193168358,4.132894632090691
BXP,9.491429457551305,2.5948974609374984
C,2.9098419205627257,1.4534003879712971
CAG,0.7835128961904761,0.6699179607888929
CAH,1.173129690114825,0.7963587221891986
CAT,40.80610534213075,5.107620371942933
