,MSE,MAE
MMM,7.600708143734966,2.129015935610419
AOS,3.3319796638962735,1.4784022292045695
ABT,5.751255241994136,1.8723999964047797
ABBV,8.69833805727691,2.3260136957037933
ACN,163.65884235220776,10.705854128484857
ADBE,489.1717882447252,15.605382631902826
AMD,20.550141703516942,3.6232474601432068
AES,0.8588370367081438,0.7389469277368833
AFL,1.596754654035054,1.0282669851224717
A,15.813251915220363,3.213363647460939
APD,38.10450441118534,5.1180309138885915
AKAM,7.400884943152301,2.118653806921554
ALB,200.73197803973727,11.643813146303778
ARE,19.043178714136435,3.565193907855308
ALGN,130.18751541535806,8.958673869093804
ALLE,9.048574824873292,2.43521703432684
LNT,1.652173356328193,1.02775952587389
ALL,9.93379148547075,2.2268992384819133
GOOGL,23.25488616224325,3.8591788304995194
GOOG,17.611217654640285,3.48441241538688
MO,0.9011670610659531,0.7020834570061673
AMZN,32.89189061421615,4.551180277785209
AMCR,0.11471085445520951,0.2593253344705659
AEE,4.536739139544557,1.6982355509718803
AEP,6.503072633654793,2.1226549017919254
AXP,12.037840829836842,2.840070959639876
AIG,2.768498014010234,1.3083595380391164
AMT,44.6944825698698,5.132391733665988
AWK,17.683736893232776,3.1566001160504067
AMP,160.7206356899768,10.040059546901755
AME,15.239089583813398,3.268685693610205
AMGN,43.75633367662452,5.212011154383829
APH,0.9277552395931906,0.7787250492670765
ADI,30.130855250059092,4.433192527457459
ANSS,100.42431822913537,8.125489117348033
AON,33.486889510377225,4.697909838532748
APA,6.967407670252962,2.200477874442323
AAPL,21.91134480374055,3.727210371461633
AMAT,17.312017367610117,3.3600196838378897
APTV,22.400852472263804,3.677566841857074
ACGL,2.763762973618537,1.2356781110371629
ADM,4.428886412455117,1.6819819097649562
ANET,22.354871870302404,3.8960268203526334
AJG,38.11230046572547,5.157183294426906
AIZ,34.28876812654516,4.320198529387173
T,0.22133814125823248,0.36028848935479985
ATO,6.28299084468704,2.058377357378397
ADSK,86.82976631999283,7.41236825185279
ADP,56.520156079015,6.107304925787941
AZO,3343.5734353607445,46.851060005083475
AVB,24.972643405664705,4.038845323536494
AVY,26.211900063216284,4.088994483425193
AXON,43.3270537338191,5.119680117254389
BKR,1.182915801908887,0.8864051087261874
BALL,8.928226830799986,2.218853623899695
BAC,1.0015276833748854,0.7953857003825986
BK,1.2020974443430656,0.8350148919510515
BBWI,5.156905553440356,1.8974377096515813
BAX,15.526663869872532,3.492762944469713
BDX,29.025301862468165,4.391622987512036
BBY,6.292974783353725,2.023645662281611
TECH,8.16807791119448,2.293445116853061
BIIB,86.49855526409922,5.298545628377834
BLK,687.0983179900797,20.691474391989516
BX,25.330974933843223,3.831199489227713
BA,33.083461493936646,4.211226424125776
BKNG,4972.561040009026,52.06981836606377
BWA,1.1952683599979979,0.8806544134061632
BSX,1.2734162610056894,0.9098669078252083
BMY,1.7243164711403978,1.0416553706338958
AVGO,2.123786314625424,1.1704462652337062
BR,17.421199540330147,3.342397820459653
BRO,3.1829855169123946,1.3912862751581898
BLDR,7.888347566481409,2.236710065031705
BG,8.427749145416023,2.362898264845757
BXP,6.54600673773181,2.059598426296287
CHRW,8.857527433215614,2.325349520330559
CDNS,43.52572679314252,5.072814105308219
CZR,8.65262524857669,2.224520448136003
CPT,14.760807764256363,3.114538532413848
CPB,0.5198023767354665,0.5566952065245742
COF,32.72291820356184,4.672798208994408
CAH,4.624477513726624,1.7459741095974022
KMX,19.27271671582016,3.4226621079118282
CCL,0.5729640718866247,0.5655951075357933
CTLT,33.14963995067357,4.35994122126331
CAT,44.49313775010167,5.3644954733652614
CBOE,8.362609251906253,2.312083309643889
CBRE,6.29333525224651,1.9851290036554206
CDW,20.610358868194552,3.666187965706604
CE,22.802997768894066,3.577966245886398
COR,16.047387120915158,3.3860397338867188
CNC,9.327624248271752,2.5787037366057097
CNP,0.8243455588743346,0.6998564837730096
CF,21.603445087672355,3.74799979222964
CRL,102.95313344353308,8.191179876458152
SCHW,6.393102830048147,2.0911154812329436
CHTR,272.36055755980755,12.798875991612269
CVX,27.858887447715237,4.243153036457219
CMG,2.077568198070216,1.175209385074981
CB,23.752644364122443,3.9344666363441774
CHD,4.3184062121156925,1.5993694148651543
CI,59.33624370007981,6.470804919935253
CINF,12.665177668659299,2.629357324887628
CTAS,7.347608055085371,2.0861005391160115
CSCO,0.9059996890496783,0.7792327828603247
C,1.7620746856819463,1.0398403585773623
CFG,1.4339072897256633,0.9432266966937339
CLX,11.568015182297124,2.623437594061029
CME,8.523444210958978,2.3322449775591294
CMS,2.13149386587272,1.142707981475412
KO,2.2632142169280844,1.294019542328299
CTSH,4.601749869602616,1.6040206020825527
CL,2.0615543693225122,1.1319250341964096
CMCSA,1.08951015015921,0.7910302436515075
CAG,0.4875458266064986,0.5778141805570419
COP,22.411715325810935,3.8476651335415806
ED,3.8154131953631647,1.5689867620598783
STZ,26.951907570544023,4.038491026995934
COO,4.808632555591841,1.6884505128207272
CPRT,0.5952565915905164,0.6187806978617628
GLW,1.044447921867586,0.805380546883361
CPAY,65.45725602676374,6.542726490595568
CTVA,3.276018669014064,1.498709848482315
CSGP,5.16273624368687,1.6000194549560547
COST,127.78076545308566,9.068550841449065
CTRA,2.6327983062333953,1.1627436206765371
