,Volatility
MMM,0.01989177051129134
AOS,0.01989177051129134
ABT,0.01989177051129134
ABBV,0.01989177051129134
ACN,0.01989177051129134
ADBE,0.01989177051129134
AMD,0.01989177051129134
AES,0.01989177051129134
AFL,0.01989177051129134
A,0.01989177051129134
APD,0.01989177051129134
ABNB,0.01989177051129134
AKAM,0.01989177051129134
ALB,0.01989177051129134
ARE,0.01989177051129134
ALGN,0.01989177051129134
ALLE,0.01989177051129134
LNT,0.01989177051129134
ALL,0.01989177051129134
GOOGL,0.01989177051129134
GOOG,0.01989177051129134
MO,0.01989177051129134
AMZN,0.01989177051129134
AMCR,0.01989177051129134
AEE,0.01989177051129134
AEP,0.01989177051129134
AXP,0.01989177051129134
AIG,0.01989177051129134
AMT,0.01989177051129134
AWK,0.01989177051129134
AMP,0.01989177051129134
AME,0.01989177051129134
AMGN,0.01989177051129134
APH,0.01989177051129134
ADI,0.01989177051129134
ANSS,0.01989177051129134
AON,0.01989177051129134
APA,0.01989177051129134
AAPL,0.01989177051129134
AMAT,0.01989177051129134
APTV,0.01989177051129134
ACGL,0.01989177051129134
ADM,0.01989177051129134
ANET,0.01989177051129134
AJG,0.01989177051129134
AIZ,0.01989177051129134
T,0.01989177051129134
ATO,0.01989177051129134
ADSK,0.01989177051129134
ADP,0.01989177051129134
AZO,0.01989177051129134
AVB,0.01989177051129134
AVY,0.01989177051129134
AXON,0.01989177051129134
BKR,0.01989177051129134
BALL,0.01989177051129134
BAC,0.01989177051129134
BK,0.01989177051129134
BBWI,0.01989177051129134
BAX,0.01989177051129134
BDX,0.01989177051129134
BBY,0.01989177051129134
TECH,0.01989177051129134
BIIB,0.01989177051129134
BLK,0.01989177051129134
BX,0.01989177051129134
BA,0.01989177051129134
BKNG,0.01989177051129134
BWA,0.01989177051129134
BSX,0.01989177051129134
BMY,0.01989177051129134
AVGO,0.01989177051129134
BR,0.01989177051129134
BRO,0.01989177051129134
BLDR,0.01989177051129134
BG,0.01989177051129134
BXP,0.01989177051129134
CHRW,0.01989177051129134
CDNS,0.01989177051129134
CZR,0.01989177051129134
CPT,0.01989177051129134
CPB,0.01989177051129134
COF,0.01989177051129134
CAH,0.01989177051129134
KMX,0.01989177051129134
CCL,0.01989177051129134
CARR,0.01989177051129134
CTLT,0.01989177051129134
CAT,0.01989177051129134
CBOE,0.01989177051129134
CBRE,0.01989177051129134
CDW,0.01989177051129134
CE,0.01989177051129134
COR,0.01989177051129134
CNC,0.01989177051129134
CNP,0.01989177051129134
CF,0.01989177051129134
CRL,0.01989177051129134
SCHW,0.01989177051129134
CHTR,0.01989177051129134
CVX,0.01989177051129134
CMG,0.01989177051129134
CB,0.01989177051129134
CHD,0.01989177051129134
CI,0.01989177051129134
CINF,0.01989177051129134
CTAS,0.01989177051129134
CSCO,0.01989177051129134
C,0.01989177051129134
CFG,0.01989177051129134
CLX,0.01989177051129134
CME,0.01989177051129134
CMS,0.01989177051129134
KO,0.01989177051129134
CTSH,0.01989177051129134
CL,0.01989177051129134
CMCSA,0.01989177051129134
CAG,0.01989177051129134
COP,0.01989177051129134
ED,0.01989177051129134
STZ,0.01989177051129134
CEG,0.01989177051129134
COO,0.01989177051129134
CPRT,0.01989177051129134
GLW,0.01989177051129134
CPAY,0.01989177051129134
CTVA,0.01989177051129134
CSGP,0.01989177051129134
COST,0.01989177051129134
CTRA,0.01989177051129134
CRWD,0.01989177051129134
CCI,0.01989177051129134
CSX,0.01989177051129134
CMI,0.01989177051129134
CVS,0.01989177051129134
DHR,0.01989177051129134
DRI,0.01989177051129134
DVA,0.01989177051129134
DAY,0.01989177051129134
DECK,0.01989177051129134
DE,0.01989177051129134
DELL,0.01989177051129134
DAL,0.01989177051129134
DVN,0.01989177051129134
DXCM,0.01989177051129134
FANG,0.01989177051129134
DLR,0.01989177051129134
DFS,0.01989177051129134
DG,0.01989177051129134
DLTR,0.01989177051129134
